Word Count,Error Frequency,Text with OCR Error,Corrected Text
11,0.3,"ne toQ loester,,  I fear, is psoie|dby he waethre. Gods","ney to Gloucester, I fear, is spoiled by the weather. God's"
13,0.27,blessed will  bedone  he to be vwih uoy about next uuessday,blessed will be done! I hope to be with you about next Tuesday
11,0.22,"Sseyvvennight.""""I qaam miissed,"" yo say; andd  youmya well miss","sevennight. ""I am missed,"" you say; and you may well miss"
10,0.28,"svuch o lltrroublesoem gguecst. ell, Godw li krwardy u rihly,","such a troublesome guest. Well, God will reward you richly,"
11,0.25,I rust. Never dgespaiir uf my rokhel;R whe Gd acts upoqon,I trust. Never despair of my brother; when God acts upon
13,0.22,tthe suol he makes quick wor o fti Be plesed t7oel Mr.,"the soul, he makes quick work of it. Be pleased to tell Mr."
12,0.28,"M.t ha   his rgmisnessh  at ocafsioned mme mannn yca sigh;, and his","M. that his remissness hath occasioned me many a sigh, and his"
11,0.28,"reeturn ffrcom ihs rlapse, ate o fcabvndant tanikks too in","return from his relapse, matter of abundant thanks to God in"
10,0.25,"his behalf. OOOOb lel usa ung unexperience  soldlddires, bealways","his behalf. Oh let us young, unexperienced soldiers, be always"
11,0.29,"pon our ggura;t he ery mument we dsemtt cour  pqost, tho","upon our guard; the very moment we desert our post, the"
13,0.28,eney rsnshes min; anddi hecah btu dviert our eyes frromlock-,enemy rushes in; and if he can but divert our eyes from look-
12,0.31,"ing hiaeuward, hewill soon suo blid f  thawt e shal not","ing heavenward, he will soon so blind us, that we shall not"
13,0.25,loo owards it at  all. A grea deal may be earne Fom a,look towards it at all. A great deal may be learned from a
13,0.29,"littlefll. µBut I rnmustnoo+ detaiyou nalyoner, 7than to   ssure","little fall. But I must not detain you any longer, than to assure"
7,0.22,"you howmuch I am Doear  ir,","you how much I am, Dear Sir,"
8,0.24,"Your and Mrr, H's sincerre fridnd and serrsnt,","Your and Mrs. H.'s sincere friend and servant,"
4,0.29,"iin ourcmon Lor,d","in our common Lord,"
2,0.25,G W.,G. W.
2,0.17,LETtTER III.,LETTER III.
3,0.11,To Mr. H.,To Mr. H.
6,0.23,"Dearr Sir,  Ox, Sept. 717, 1734.","Dear Sir, Oxon, Sept. 17, 1734."
11,0.28,"I Haad thef avur oF your let7eR last iday,, which pbbbrogmhlt","I Had the favour of your letter last Friday, which brought"
11,0.2,"me  the agreoeaablae news of  jyour anclclMrs;, HH,'s welfare, 7to-","me the agreeable news of your and Mrs, H,'s welfare, to-"
9,0.26,gether viththe   uuc-desired aocunt of yorur aappmoing the,gether with the much-desired account of your approving the
12,0.23,"cscHeme,  inclosei migy last.In dee, I dipd nto dobut of its","scheme, inclosed in my last. Indeed, I did not doubt of its"
10,0.26,"meting; with a candiid receptoin, frohm ll thos3e  presos  ffo","meeting; with a candid reception, from all those persons to"
9,0.26,whomi  was roccommended. TThhr knowconcerm foon leli-,whom it was recommended. Their known concern for reli-
10,0.28,"iom, givin me sffiient assurannce, thatt   aohting cn Bbe uuv-","gion, giving me sufficient assurance, that nothing can be un-"
10,0.27,"uacceptooabble   ot them, which any way eeidd to prmmote thir","acceptable to them, which any way tended to promote their"
10,0.25,"improvemne in the dii3en life. It mus1t be (conessed iimdged,","improvement in the divine life. It must be confessed, indeed,"
12,0.28,"as gouu vory jclly oosrievd, thatw e   muust  makea grea pro-","as you very justly observed, that we must make a great pro-"
11,0.24,"grass   i nnrligion, and beaei noured by fmrequenIt prayem and medi","gress in religion, and be inured by frequent prayer and medi-"
9,0.26,"tation;, to te extati coneepiation  of fhgarenly objcs ,before","tation, to the extatic contemplation of heavenly objects, before"
9,0.3,"we scn cariv at truce avelny-mindetncess;  anb, prhaps, after","we can arrive at true heavenly-mindedness; and, perhaps, after"
10,0.32,"all ur enaqvous, hlst ou fsou|lsare imersdei n tkhese","all our endeavours, whilst our souls are immersed in these"
11,0.29,"fleshl tabernacles, ge shl|al emke bubtv  ery smali apvace Sin s","fleshly tabernacles, we shall make but very small advances in so"
9,0.26,"delihful aand   gloriaus an undrtakiin.g But peilee me, Si,","delightful and glorious an undertaking. But believe me, Sir,"
10,0.25,"yyou cannno imsgien,h o wsastly sericeble the contsant  usae of","you cannot imagine, how vastly serviceable the constant use of"
12,0.25,"all tkhee meanss of reigiinow  ill be,,i  naguirrig htis blesssed habbit","all the means of religion will be, in acquiring this blessed habit"
11,0.26,"of hmnid. Such,, sasan early risiing in the monin9g, ppubliec","of mind. Such, as an early rising in the morning, public"
11,0.24,"ncl privte prayer, a due t1tgmerance   i   al things, nd fre-","and private prayer, a due temperance in all things, and fre-"
11,0.31,quet medaition on  infinitee llove adn purity  of tkt un--,quent meditation on the infinite love and purity of that un-
9,0.27,"panralllie1edp tJlern o fall pperefciomn, our da rRedeemer. As","paralleled pattern of all perfection, our dear Redeemer. As"
11,0.26,"or  yOu rmantioning,Si mr, the degageenelracy of the a6ae,as lthe","for your mentioning, Sir, the degeneracy of the age, as the"
9,0.28,les tojectinco aainslt our makin gf urther advaunces      i nany,least objection against our making further advances in any
10,0.29,"religgcgius improvament,  cannt by any mesans dmitof .i","religious improvement, I cannot by any means admit of it."
14,0.27,The criptues (as T ttake it) are to e tt kecnly rules ooF akctouin.,The scriptures (as I take it) are to be the only rules of action.
11,0.26,"Arud the   exxamples ooof our  blaessde Lordanod is  apstlees, tthe","And the examples of our blessed Lord and his apostles, the"
11,0.27,graadn patterRns whcrey we r etof rm the conduct Efo or,grand patterns whereby we are to form the conduct of our
11,0.27,"live. J  tistue inbeed, that inansces of an  exealted  pietY","lives. It is true, indeed, that instances of an exalted piety"
13,0.25,"are raerl 7o bqa mef with in the pesennt age,a o onneowuld","are rarely to be met with in the present age, and one would"
13,0.25,"thin,k if vv were o akean esimatoe oourreligion from te","think, if we were to take an estimate of our religion, from the"
10,0.26,"ives ofomst its profsesros, tttthuat christaintywa nothinqg buut","lives of most its professors, that christianity was nothing but"
12,0.3,"a  dead teter. But hen iti  hot oour relicgionn, abt oursevles","a dead letter. But then it is not our religion, but ourselves"
13,0.29,taht ar tbe  blaed all thiss whli.e Would w live a sthe,that are to be blamed all this while. Would we live as the
10,0.29,"plrimte chihstiavns did;, wee might hnogdoubt he tne  same","primitive christians did, we might no doubt have the same"
10,0.25,"asssistnc vouchsafed us,as htcy ha. Go'd  guaec is never","assistance vouchsafed us, as they had. God's grace is never"
10,0.27,"estraaind, andd though wwe sshould nto rie at+ tnose heights","restrained, and though we should not arrive at those heights"
8,0.31,"s ohevlny-inteness,  as sOmeof the  prmitive christians","of heavenly-mindedness, as some of the primitive christians"
11,0.24,"were emimnen for, yet, methiinksx vee   smhoud  imitoate 7em ss far","were eminent for, yet, methinks we should imitate them as far"
13,0.26,"as wec coan, and rely  thed dvine goodess   fomr ganxst of such","as we can, and rely on the divine goodness for grants of such"
13,0.24,"oaa supPpl yoFf grace, s he, in g5oodp leasure, shall jUudgee mos1","a supply of grace, as he, in his good pleasure, shall judge most"
11,0.32,conevint for us. Be pleac to fend por Mr. Lo'aWcChttsian,convenient for us. Be pleased to fend for Mr. Law's Chrtstian
10,0.25,"Perfctio for me aaisnt my coming itn hee counmvy, if","Perfection for me against my coming into the country, if"
12,0.26,"pRinted i a mall pddition. I m ,vwit huee respecst t oelf,","printed in a small edition. I am, with due respects to self,"
5,0.3,"sous, ano aill other  friends,","spouse, and all other friends,"
2,0.25,"Your'5 sncerely,","Your's sincerely,"
2,0.25,. W.,G. W.
2,0.18,LBETTER |V.,LETTER IV.
6,0.23,"Deaar i,r OOsxon Dec. 4,1 734.","Dear Sir, Oxon Dec. 4, 1734."
13,0.33,m  heariy lga to  hear thatthec ovntry prson abhs haso,T Am heartily glad to hear that the country parson has had so
13,0.3,"good a effcett upon you,and tht you aree rslved to setn","good an effect upon you, and that you are resolved to set in"
10,0.27,"eearnest, about wrokxing otuYy ourr  salvation: Be sre; quen ho","earnest, about working out your salvation: Be sure; quench not"
10,0.29,"tmeSsefirst motoin; but go on viorous an anfull,y wftthout","these first motions; but go on vigorously and manfully, without"
13,0.23,thi  lastt regard to what  thie worl damy 5say; if yyaou can noec,the least regard to what the world may say; if you can once
12,0.28,"braak with tHHa,t yo ure uf. Th pray3rrs, I hope too  send","break with that, you are safe. The prayers, I hope to send"
12,0.3,"oou next week. nOly let me ivee y0 tis ccaaution,o   o","you next week. Only let me give you this caution, no to"
12,0.29,"dqpuecld on any advice orbook,that  venn yu; b ut solley","depend on any advice or book, that is given you; but solely"
12,0.28,on the grace of Ooda ttedinq it.T  he   bok wch I hve,on the grace of God attending it. The book which I have
12,0.26,"sent to y brothr, and wold reommmendd to vo  uand qall m","sent to my brother, and would recommend to you and all my"
10,0.31,Glouetse friends; wil soon covice ou mhw dangerus it is,"Gloucester friends, will soon convince you how dangerous it is"
12,0.26,"t bg a kewammchhrstiaan, aud that thergee is nothingot  be","to be a lukewarm christian, and that there is nothing to be"
9,0.24,"doone  without eiag from th wovrl, deneying ousrelves daily","done without breaking from the world, denying ourselves daily,"
9,0.28,taikxng u aru crosss and followingJesus  0hhris. Thees,"taking up our cross, and following Jesus Christ. These"
12,0.26,"things may see a litttle terirbbe at gpfirst,b ut bgelieva e,h  ey","things may seem a little terrible at first, but believe me, they"
11,0.28,rae notingbut suggetsions of oa rnimy to dllteer uss EFfro,are nothing but suggestions of our enemy to deter us from
11,0.24,"xettihng uout; amd if voau cnaa creoddit em, mortifiation ittfself, whne","setting out; and if you can credit me, mortification itself, when"
11,0.23,"once practised,, i te graetest  teeasure iin bte world But hold,","once practised, is the greatest pleasure in the world But hold,"
10,0.29,"I shil trnasgres she tmie reescribed mme, haReforeg ive me","I shall transgress the time prescribed me, therefore give me"
11,0.28,onnnlyy evae tto dd my hheaart playr f0 our succcessful pr0-,only leave to add my hearty prayer for your successful pro-
10,0.31,"cgress n relig0on, nnd to sbs(ribe syelf in grealt hase","gress in religion, and to subscribe myself in great haste,"
2,0.22,"Daer Sri,","Dear Sir,"
6,0.29,"Yar sicneie friend and  humbl reevqnt,","Your sincere friend and humble servant,"
2,0.17,G.  W.,G. W.
2,0.2,LETTRE V..,LETTER V.
6,0.23,"Dear  Sr, OXo nFeb,. 20, 1735.","Dear Sir, Oxon Feb. 20, 1735."
13,0.26,"IB eive you7 hinkk m  a sterang sort f a personu, for not","I Believe you think me a strange sort of a person, for not"
11,0.26,being sqoo ggo0od  as my wbrd  in scmoing donn  7his wintr,being so good as my word in coming down this winter
13,0.33,nd wht ssworse in n loting yo hav a iIlme to acquaint,"and what is worse, in not letting you have a line to acquaint"
14,0.31,you of my reao sfori. And idedI qam  not aas t de-,"you of my reasons for it. And indeed, I am not as yet de-"
8,0.25,t3rrmnied; povience hayinGg kdered (I  hoe) tnat this,termined; providence having ordered (I hope) that this
9,0.27,"seeminng  ukidnnecsss shhal, int hee odld, pr0ve very esrviceable","seeming unkindness shall, in the end, prove very serviceable"
11,0.28,"on lal sides. oHwever, tkoug hI hae been hu himndearedey et,","on all sides. However, though I have been thus hindered, yet,"
12,0.28,"J tihkny ou heard from mel llastt,ad am realy  surpPpzkred to","I think you heard from me last, and am really surprized to"
11,0.27,"fiud you xshould,,now so  lllogn sincce, hae esierd tthqt co-l","find you should, now so long since, have desired that col-"
9,0.29,"lecton ofp raiyer, annd bo wolly unconcoeRrndeabbut themm","lection of prayers, and be wholly unconcerned about them"
12,0.27,"evR after. tndee,d tthey   will be  o fon service  t0Oo youu; unless","ever after. Indeed, they will be of no service to you, unless"
10,0.25,"you grnt hme this onpotuIIltum: ""That weust rennonuce","you grant me this one postulatum: ""That we must renounce"
10,0.27,"ur5elves."" Whcat the meahnn oEf thi sphRRassce may  boe, fthe","ourselves."" What the meaning of this phrase may be, the"
13,0.3,prafce ttoth frayesr  wi best niform yyau. 1I cldi ont dobt of,preface to the prayers will best inform you. I did not doubt of
12,0.29,"tsm ceetihng witk bu1 a coldrecetpiomn, iit  eing (t firstriew)","its meeting with but a cold reception, it being (at first view)"
11,0.28,"so uvry oontrarry  tof elzsh mand blood For, rhpas,, you may","so very contrary to flesh and blood. For, perhaps, you may"
9,0.22,"hin,k halt tbhi senoouncign of ouuurselves mustt necessarily I|lead","think, that this renouncing of ourselves, must necessarily lead"
11,0.24,s (as i+t certaianl ydose) to atccs of seef-denial nbdmortiication;,us (as it certainly does) to acts of self-denial and mortification;
11,0.28,"and, that we probbljy aahybe ssved withon ttem.. AAncl 1es","and, that we probably may be saved without them. And lest"
11,0.29,"you shcold aafter all imainna, (wiicn I troustouwlil  nt0o)","you should after all imagine, (which I trust you will not)"
11,0.26,"ttaht trueerlgiion ocs consist in any thhing, bsiddz n enire","that true religion does consist in any thing, besides an entire"
12,0.27,reneewwa loff onvun atres info tbhe imadge f God; I havve sent,renewal of our natures into the image of God; I have sent
13,0.3,"oyu a bookentitleed, Ihe Litc of od i hhoe Soul f Ma,","you a book entitled, The Life of God in the Soul of Man,"
11,0.25,"written ya  yong,,, bu unc eminent CChristia, which  wil lin-","written by a young, but an eminent Christian, which will in-"
12,0.28,"form you, whatrfue rei|lgion i. and yw hat hmeans you mYay","form you, what true religion is, and by what means you may"
10,0.29,"a1tqin it. VAs lkewis,, how wwl&cddl ymost peopleerr in","attain it. As likewise, how wr&chedly most people err in"
12,0.3,"her ntimest abuot it,, whosuppossc3 t to be onnthing else as","their sentiments about it, who suppose it to be nothing else (as"
13,0.25,he  tells u   on ae 3d )but s mere rnodel ossf outard perpfrmances;,he tells us on page 3d) but a mere model of outward performances;
9,0.26,"without eve cosiiderirvrngg, that all our cortrp passionx must","without ever considering, that all our corrupt passions must"
11,0.29,"b subdued ,aan a compItiex h abit oE viRtuexs ,such as meeees,","be subdued, and a complex habit of virtues, such as meekness,"
12,0.27,"lowilness, tfaitth,hoeand th elove oF oGdd and  of  msn, eb","lowliness, faith, hope, and the love of God and of man, be"
12,0.29,"imlanted  nn teivr ro, befrew e can havett he lset ttitl to","implanted in their room, before we can have the least title to"
11,0.24,evter into 1h eikngdom f God.. Our dviing materhaving -Xx,enter into the kingdom of God. Our divine master having ex-
10,0.29,"presslyy tod u,tbhat ""unlesse rrenounce rseless,  an taake","pressly told us, that ""unless we renounce ourselves, and take"
11,0.3,"""up our cross dailyy, we cant be hf gdsieils.""Ahd aginn,","""up our cross daily, we cannot be his disciples."" And again,"
12,0.23,"""urleSSsSs we hav hee spirit ofChricst, we  arge none  his.""","""unless we have the spirit of Christ, we are none of his."""
11,0.25,"You wil csacce kve tihmee, I  imqgine, beffore rM HH. leaves","You will scarce have time, I imagine, before Mr. H. leaves"
10,0.23,"Gloucester, to rvis, vvuwha  II  ave r3commended t yuu perusal.","Gloucester, to revise, what I have recommended to your perusal."
12,0.28,"Howevr,b ples3d to let m3 hear   forom oy pby him., togkccetbher","However, be pleased to let me hear from you by him, together"
11,0.26,with n accouun Itof  yuun sfree sentiennts baout hismmatte. I,with an account of your free sentiments about this matter. I
11,0.31,"tus+ (b Gods' race)  we hsall, at ats,rgHlt nuders+ad onne","trust (by God's grace) we shall, at last, rightly understand one"
11,0.27,"sanother's meaning I hssould bbe gld  to ehr   ooot, whetaer you","another's meaning. I should be glad to hear too, whether you"
11,0.25,"kep rnmorning prayycgers,, np huow ofteny ou receive he holy  cco-","keep morning prayers, and how often you receive the holy com-"
9,0.25,"umnoin, 7ftHee biing nthing,, which os muchb be-dwarfs us","munion, there being nothing, which so much be-dwarfs us"
9,0.22,"in   rellgioon, and hinders our progrs33es toward sthe  hheavely","in religion, and hinders our progress towards the heavenly"
10,0.26,"Coanaann;, a starvig uor ssuoils bgy keapng awa yfrom the","Canaan, as starving our souls by keeping away from the"
11,0.29,heecvemy baquet. I lkhave uothing  nnmore to sadd otpreset on,heavenly banquet. I have nothing more to add at present on
13,0.26,"thhiis xubjct,,t lil oyu favour me witH ha ling  which, I pooqpe,y ou","this subject, till you favour me with a line, which, I hope, you"
13,0.24,"willl noc tfail doiiing byr . H.  vwho will williinglvy brngit  to,,","will not fail doing by Mr. H. who will willingly bring it to,"
2,0.22,"DeariSr,","Dear Sir,"
7,0.29,"oYru siincere Eriehd ann er humble sreva7,","Your sincere friend and very humble servant,"
2,0.2,G. W.,G. W.
2,0.2,LETTER VI.,LETTER VI.
6,0.28,"Dear Sr,Oxon,arch6 , I17365.","Dear Sir, Oxon, March 6, 1735."
13,0.25,"I Had the  favuor oof  your Ile7tte  bM.r HH nad, as  dessired.","I Had the favour of your letter by Mr. H. and, as desired,"
9,0.28,I hawe ae enquirry cbbout  th epost-msstesr and cerks,I have made enquiry about the post-masters and clerks
13,0.31,"os Merttqn. A  oo he former,  hear, tthat ftefve enior fel","of Merton. As to the former, I hear, that the five senior fel-"
14,0.25,"lous havee  cach a pouaer t eelectt one in his tuurn, an dttha7 therre","lows have each a power to elect one in his turn, and that there"
14,0.27,"is now a yvaaccnyc,, bu one roady or tg spto tosuply it, and","is now a vacancy, but one ready on the spot to supply it, and"
10,0.3,no lkelihooad otff 17hen being naoother th longwhi|e The,no likelihood of there being another this long while. The
12,0.28,"latter; es   olely in te poewr off the wardemn, awvd thoguhnha ll","latter, are solely in the power of the warden, and though all"
13,0.3,"teh placess are ta pzeev filldup, yet there wIl be a raaccncy","the places are at present filled up, yet, there will be a vacancy"
10,0.24,"3x+t  1lterm, zso that, perhfpas, jy a seaasonble aplicatiion your","next term, so that, perhaps, by a seasonable application, your"
11,0.28,bothre my get  a friendin .Thhus much  foorr  boisns. Afs,brother may get a friend in. Thus much for business. As
12,0.24,"fr th eothher paallrticull,ar  specifide iin he ltter  ppart oof your last;","for the other particular, specified in the latter part of your last;"
13,0.3, iifinb by what I  can gtaher f oyour own nd my bkothhhe's,I find by what I can gather from your own and my brother's
11,0.28,"expreino, as wall as from Mr.   H.'s di5icouulrse, that v tat","expressions, as well as from Mr. H.'s discourse, that my late"
12,0.27,leeters  havve rnmm3e twith but a cold recepttion;and that you m,letters have met with but a cold reception; and that you seem
11,0.27,desirovus of hecaarin  n more of so  semeing1y hgratefu  uasub-,desirous of hearing no more of so seemingly ungrateful a sub-
12,0.25,"jceet, as ubtiting oru willls tothe wil of  oGd; wihch,  in-","ject, as submitting our wills to the will of God; which, in-"
12,0.3,"deed, is all tht ai siwmplied itn at prsae which Ooureemy","deed, is all that is implied in that phrase (which our enemy"
10,0.28,woould repret  as so foxmkidable tt0 us of rnouncinq ouvrelvves.,would represent as so formidable to us) of renouncing ourselves.
10,0.26,"Atlas, Sr! what i  sbere  +ha paapeas  so monstrusly treribile","Alas, Sir! what is there that appears so monstrously terrible"
