Word Count,Error Frequency,Text with OCR Error,Corrected Text
12,0.23,"vitor; and 4s to my C0hditiOm aNd CiR9umstrnces, L have not öf","vitor; and as to my condition and circumstances, I have not of"
13,0.14,"my oWn Any Where to |Ay my heAd. 8ut mY friends, by God's","my own any where to lay my head. But my friends, by God's"
11,0.2,"providbmge, minister baily to rne, and iN KeTurn fOr such un-","providence, minister daily to me, and in return for such un-"
9,0.22,"rnebited, vnspeakaD1e blessinqş, l trust the fame qood Bein9","merited, unspeakable blessings, I trust the fame good Being"
11,0.17,will give me gracb to dfdicate myseIf withoui besepve t0 his,will give me grace to dedicate myself without reserve to his
11,0.24,"5eruiçE. To ""spbrnd and bE Spent"" tor Th8 welfare of my","service. To ""spend and be spent"" for the welfare of my"
8,0.24,"ffllOw-creaturEs, endeavöubing to pKOmofe the gosRe| of his","fellow-creatures, endeavouring to promote the gospel of his"
12,0.2,"S0n aş rnvch as liEş iN my poor power. Bvt ""observb his","Son as much as lies in my poor power. But ""observe his"
9,0.14,"""hUmility,"" Says Mr. H. AYE, gatch an o|d Christiah","""humility,"" says Mr. H. Aye, catch an old Christian"
10,0.19,"without pröfound huniIiiy, iF yQu cam. 8E|ieve me, Sir, it","without profound humility, if you can. Believe me, Sir, it"
12,0.12,"is nothing bUf ihis flesh oe ours, thosE cursed feebs oe the","is nothing but this flesh of ours, those cursed feeds of the"
12,0.19,"proud Ap0Sfate, vhiCh 1ie lupkimg in us, that rnakf us to thimk","proud apostate, which lie lurking in us, that make us to think"
11,0.14,ourselues worthy oF the uery air ve breathe. When oWr Eyeş,ourselves worthy of the very air we breathe. When our eyes
11,0.2,"Are obened By The inflUences of bivime gr4ce, wF thEn sha1l","are opened by the influences of divine grace, we then shall"
12,0.22,"begin to thiNk of oUkselve5 as we ou9hf t0 think, evbn, thrt","begin to think of ourselves as we ought to think, even, that"
12,0.23,"gOd i5 All, an8 we ard less than mothinq. Ve|1, you may-","God is all, and we are less than nothing. Well, you may-"
13,0.2,"cry, O happy iemper, goüld L but leaRn oe Ohrist to be meeK","cry, O happy temper, could I but learn of Christ to be meek"
12,0.15,and 1ow1y in he4rTy I shoulb certainly find rest to my souI.,and lowly in hearty I should certainly find rest to my soul.
13,0.2,"may God, fop hi5 dear Son's sAKd, give if to you, tö rne,","May God, for his dear Son's sake, give it to you, to me,"
12,0.16,"rnd to aI| our dEar frienbs! ""80mf like, some bisliKe the ex-","and to all our dear friends! ""Some like, some dislike the ex-"
13,0.22,"""tbacF,"" you 5ay. I did hot do iT, t0 pLeaşe m4n, but 6Od.","""tract,"" you say. I did not do it, to please man, but God."
11,0.19,"""Nr. W. is io0 rnuch fngagbd in teNpörrls."" Is he? Oh","""Mr. W. is too much engaged in temporals."" Is he? Oh"
13,0.16,"Deab Sir, rray thAt When I ent8r fhe miniştry, I may be who1ly","dear Sir, pray that when I enter the ministry, I may be wholly"
11,0.12,"ehgAgpd ih 5piritualş: But ""Mrs. H. has been ill, and is","engaged in spirituals: But ""Mrs. H. has been ill, and is"
9,0.2,"""noU reC0vereb."" Göd be draised For both! Our 8rviovr,","""now recovered."" God be praised for both! Our Saviour,"
11,0.19,"Sip, lbarNt obedience bi the ThimGS which he sufFerfd, s0 mvst:","Sir, learnt obedience by the things which he suffered, so must:"
12,0.17,"we. PaiN, iF p4tieNtly endureD, 4nd Sahctified to us, is a great","we. Pain, if patiently endured, and sanctified to us, is a great"
10,0.25,Pürifier of our corpupied n4tube. lt wi|1 teach us eKcelIenT,purifier of our corrupted nature. It will teach us excellent
11,0.15,lbssons. I hopf MR. H. hAs deen enabled fo lbapn sOme,lessons. I hope MR. H. has been enabled to learn some
12,0.2,of them. So nüch ih rNswep to Youk kihd lettep. You s4y,of them. So much in answer to your kind letter. You say
11,0.19,"""it was too löNg."" Bf|ieve mf, sib, iT wa5 mugh short;","""it was too long."" Believe me, Sir, it was much short;"
13,0.24,"put a line is morf thrN | oeServe. HowevFk, I havf madf oUi","but a line is more than I deserve. However, I have made out"
10,0.19,"in rninE, whai was wamting in yöurs. Nv Mother'S jour-","in mine, what was wanting in yours. My Mother's jour-"
11,0.25,"ney to GlOuceştEr, I tear, is spoi1eD Dy Ihe werther. qoD'ş","ney to Gloucester, I fear, is spoiled by the weather. God's"
13,0.19,8IesSed vill be Döne! I hode fo be with you about nexT TuesdaI,blessed will be done! I hope to be with you about next Tuesday
11,0.21,"sevfnnight. ""I an mis5ed,"" you s4y; and yOu nay WEll miss","sevennight. ""I am missed,"" you say; and you may well miss"
10,0.17,"5uoh a tröuble5orne guest. WBll, God vill rewarO you richly,","such a troublesome guest. Well, God will reward you richly,"
11,0.21,I frusT. never despair of hy 8rothEr; uhEn God rcts upOn,I trust. Never despair of my brother; when God acts upon
13,0.19,"the soul, he marbs guioK wobR 0f it. Be pleasEd To tell Mr.","the soul, he makes quick work of it. Be pleased to tell Mr."
12,0.23,"M. thaT his peMissness hath Doca5ioMbd mE nany a sigh, ahd hi5","M. that his remissness hath occasioned me many a sigh, and his"
11,0.18,"retürn FRom his rFlapse, rnatTeB of abundant thamks tO God in","return from his relapse, matter of abundant thanks to God in"
10,0.27,"his 8ehrlf. Oh lEf vs y0ung, unexpbrienceb s0ldifrS, be AlwaYs","his behalf. Oh let us young, unexperienced soldiers, be always"
11,0.2,"up0n our gurrd; the uekY momeNt wf desebt oüR post, the","upon our guard; the very moment we desert our post, the"
13,0.25,Entmi puşhes in; and if he cAN bvi diwert our eYes froM look-,enemy rushes in; and if he can but divert our eyes from look-
12,0.15,"im9 heavenvabd, he wilI soon so blind vs, that we sha|I hot","ing heavenward, he will soon so blind us, that we shall not"
13,0.24,look towaRds it At all. A greai Oeal mAy BE If4rnbo trom a,look towards it at all. A great deal may be learned from a
13,0.18,"litt1e fall. But I Müst n0t dfFain iou amy longer, Ihan to assurf","little fall. But I must not detain you any longer, than to assure"
7,0.14,"you hOw much l rm, Dear Sib,","you how much I am, Dear Sir,"
8,0.22,"Löur and Nrs. H.'s sincEre Eriend and servanf,","Your and Mrs. H.'s sincere friend and servant,"
4,0.21,"in qur common Lokd,","in our common Lord,"
2,0.0,G. W.,G. W.
2,0.27,LEITER ILl.,LETTER III.
3,0.11,to Mr. H.,To Mr. H.
6,0.19,"dear Sir, dxOh, Sept. 1T, 1734.","Dear Sir, Oxon, Sept. 17, 1734."
11,0.21,"I Had the fav0ub of yöUr IetfEr la5t Fkiday, Whiçh drought","I Had the favour of your letter last Friday, which brought"
11,0.2,"nf Ihe rgreeable nbws öf your Anb mrs, H,'s we|fare, to-","me the agreeable news of your and Mrs, H,'s welfare, to-"
9,0.14,9fther with the nuch-dfsireb rccount oe your approvinq the,gether with the much-desired account of your approving the
12,0.22,"Scheme, ihc1o5ed in my l4st. Indefd, I did n0t bovDi of iis","scheme, inclosed in my last. Indeed, I did not doubt of its"
10,0.17,"meeting; with a c4hbid recepFion, epom all thosb per5ons To","meeting; with a candid reception, from all those persons to"
9,0.22,uhom it was recomrnenodo. Their known gohceKn for 8eli-,whom it was recommended. Their known concern for reli-
10,0.16,"gion, givimg mE sufficieNt assuRangf, thrt nothing çan be uH-","gion, giving me sufficient assurance, that nothing can be un-"
10,0.21,"accePtaRle tO thern, which Any wAY tfnded To promofe thfir","acceptable to them, which any way tended to promote their"
10,0.15,"improveneni in the diwine 1ife. IT musT de ç0nfessed, indeed,","improvement in the divine life. It must be confessed, indeed,"
12,0.19,"AS you very justlY obsErveb, ihat ue muSt m4ke a gbeat pbo-","as you very justly observed, that we must make a great pro-"
11,0.23,"9rEss ih religion, Amd bf inurfd By trEGufnt pRayer and medi-","gress in religion, and be inured by frequent prayer and medi-"
9,0.23,"tation, fo the ektatic c0nteMdlation of hervenly objeöfş, beiorb","tation, to the extatic contemplation of heavenly objects, before"
9,0.19,"wE Ç4n rkrive aT irub heavEnly-mindedness; Ahd, perhaps, after","we can arrive at true heavenly-mindedness; and, perhaps, after"
10,0.21,"all our Bndeavours, whi|st öür 5Oulş arE imnersed in thesE","all our endeavours, whilst our souls are immersed in these"
11,0.22,"fleshly fabFrnacles, we sh4ll rn4ke put verv sm4ll 4dvAnces in şo","fleshly tabernacles, we shall make but very small advances in so"
9,0.18,"delighiful rno glorious an vndektakinG. Büt believe mF, 5ip,","delightful and glorious an undertaking. But believe me, Sir,"
10,0.16,"iöu cannot ima9ine, how vastly serviCeabIf fhe c0nstrnt use öf","you cannot imagine, how vastly serviceable the constant use of"
12,0.24,"all thb Means öi rbligiön will 8e, ih 4cgüiring this blESseD habit","all the means of religion will be, in acquiring this blessed habit"
11,0.16,"of mind. Sugh, as aN Ear|y rising in ihe mokniNg, PubliC","of mind. Such, as an early rising in the morning, public"
11,0.2,"And privafe prawer, a due Tempebrnce ih al| Things, and trf-","and private prayer, a due temperance in all things, and fre-"
11,0.18,qvent mediiAtioh on the intihite love 4nb puriiy of that un-,quent meditation on the infinite love and purity of that un-
9,0.22,"daralleled paiTern of 4ll pfkfeGtion, övr beap Redeemer. 4s","paralleled pattern of all perfection, our dear Redeemer. As"
11,0.15,"for Your mentioning, Sik, the degenEbacy of ihE rgE, as thE","for your mentioning, Sir, the degeneracy of the age, as the"
9,0.19,leaşi objection Against our makiNg fUrther aduanceş iN rny,least objection against our making further advances in any
10,0.23,"reliGious imPrOvenent, I gaNNot bv anY means admiT of if.","religious improvement, I cannot by any means admit of it."
14,0.22,Ihb scripTukeş (4S I take it) rpe to be the 0nlv rules of action.,The scriptures (as I take it) are to be the only rules of action.
11,0.22,"and thb bxRmples of our blFSsed 1ord aNd his aPostles, the","And the examples of our blessed Lord and his apostles, the"
11,0.27,grAnb r4tferns whekbby we kre To form thE cDnduct oF öur,grand patterns whereby we are to form the conduct of our
11,0.2,"lives. It is true, inDfed, That instances Ob an exa|Teo pietY","lives. It is true, indeed, that instances of an exalted piety"
13,0.22,"4re kareli tö bb mei with in the preseht a9e, 4nd oNf wovId","are rarely to be met with in the present age, and one would"
13,0.21,"think, if we Were fO tAke an esiimatb of our rbli9ion, tröm the","think, if we were to take an estimate of our religion, from the"
10,0.19,"lives of most its profeSsors, Thai ChkistiaNiFy ua5 nothing büf","lives of most its professors, that christianity was nothing but"
12,0.25,"r oead lbifer. But Theh ii is noi our reliqioN, but ourSelveş","a dead letter. But then it is not our religion, but ourselves"
13,0.22,thAf arb tO 8f 8lamed rll this whi|e. WoulB we live Rs the,that are to be blamed all this while. Would we live as the
10,0.21,"primitive çhRisTiRNs Did, we miqht no doUbt have the samD","primitive christians did, we might no doubt have the same"
10,0.15,"assistancE vouChsafed us, aş thev had. god'S grace is nEVer","assistance vouchsafed us, as they had. God's grace is never"
10,0.2,"kestraine8, and fhöugh we shouId noi arriVe At Ih0se heights","restrained, and though we should not arrive at those heights"
8,0.22,"ot hfawehly-Mihbebne5s, as some of the primitivE christian5","of heavenly-mindedness, as some of the primitive christians"
11,0.18,"were eminEnf eor, yei, methinks we shou1d iMitatb them 4s fAr","were eminent for, yet, methinks we should imitate them as far"
13,0.26,"as we çam, amd rflv On the divirne go0Dness för GrAnts 0e suCh","as we can, and rely on the divine goodness for grants of such"
13,0.22,"a svdply of gdaoe, rs he, in his good plersure, sha1l judqb nöst","a supply of grace, as he, in his good pleasure, shall judge most"
11,0.16,oonvEnient eor uş. Be p1easEd to tend föR Mr. Law's chrtstian,convenient for us. Be pleased to fend for Mr. Law's Chrtstian
10,0.2,"PerFeÇtion Eor me against my coming into The coWntpy, if","Perfection for me against my coming into the country, if"
12,0.25,"pbinfeb in a sm4|l ebiTion. l aN, with due rEspecfs to şelf,","printed in a small edition. I am, with due respects to self,"
5,0.17,"spouse, and k|l other friends,","spouse, and all other friends,"
2,0.18,"Your's siNcErbly,","Your's sincerely,"
2,0.2,G. w.,G. W.
2,0.3,LETFFK IV.,LETTER IV.
6,0.25,"Dfar 8ib, OKon Bec. 4, 1734.","Dear Sir, Oxon Dec. 4, 1734."
13,0.25,F Am heARtily gIad to hEaR that the cöunfry darsön hAs hAD so,T Am heartily glad to hear that the country parson has had so
13,0.22,"9ood aN effect uP0n y0u, and thrt yoU aRe resolweD to 5ft im","good an effect upon you, and that you are resolved to set in"
10,0.19,"earnest, AbouT working Out yOur salvatiön: Pe 5ure; quEmch mot","earnest, about working out your salvation: Be sure; quench not"
10,0.24,"these fiRst mötiöns; bvt go On viqor0u5Iy and rnanFully, vithOut","these first motions; but go on vigorously and manfully, without"
13,0.15,thf least begard to what the w0rld rn4y say; if you can ohce,the least regard to what the world may say; if you can once
12,0.14,"break with that, you are saee. Thf dr4yers, L hore iO send","break with that, you are safe. The prayers, I hope to send"
12,0.27,"yoU nExt wbex. 0rnly leT me giue You This cauTiom, no to","you next week. Only let me give you this caution, no to"
12,0.24,"depenb On any advice or boOk, that is given you; but sölelv","depend on any advice or book, that is given you; but solely"
12,0.22,On The grACE of bod AtTending it. Thf book which 1 hAve,on the grace of God attending it. The book which I have
12,0.25,"sbnt fo mY prothfr, ahd woulo pbComrnemd to you AnD all my","sent to my brother, and would recommend to you and all my"
10,0.16,"Gloucestbr friendş, will soon çonvince you höw danqekOus it is","Gloucester friends, will soon convince you how dangerous it is"
12,0.24,"to de r |ukewaRM chkistian, and FhaT ihepe is nOthinC to be","to be a lukewarm christian, and that there is nothing to be"
9,0.19,"döhe wifhöut bkeaking from the wOr1o, Dbniing oursElves daily,","done without breaking from the world, denying ourselves daily,"
9,0.24,"t4KiNg up our Cross, an0 FOllowimg Jesus ChrisT. FhE5e","taking up our cross, and following Jesus Christ. These"
12,0.17,"thihgş mAy Sefm a little tebrible at first, but belifve Mf, they","things may seem a little terrible at first, but believe me, they"
11,0.23,apE nothing buI suggestionş öF our enfmy fo deteb us frOm,are nothing but suggestions of our enemy to deter us from
11,0.23,"Setting out; rnd iF yoü crn ckeDit me, moKiifi0aTion itse1f, when","setting out; and if you can credit me, mortification itself, when"
11,0.22,"onçe practispd, is ihe Greatest pleAsukf ih ihB vorld But holD,","once practised, is the greatest pleasure in the world But hold,"
10,0.22,"I shr1l tran5gResS the tirne prescribeb ne, therefore Giwb me","I shall transgress the time prescribed me, therefore give me"
11,0.24,only 1eRve to aDd my he4Rty prAybr eor yöur 5ugceSsfUl pro-,only leave to add my hearty prayer for your successful pro-
10,0.26,"GkeSS in reliGion, 4nd to subscri8e myself in greaT haSte,","gress in religion, and to subscribe myself in great haste,"
2,0.22,"DeAk Sir,","Dear Sir,"
6,0.21,"Your şinçerE friend rnd hVmble 8ervant,","Your sincere friend and humble servant,"
2,0.0,G. W.,G. W.
2,0.22,LETTER V.,LETTER V.
6,0.14,"Dear Sir, oxon Feb. 20, 173s.","Dear Sir, Oxon Feb. 20, 1735."
13,0.17,"I 8elieue vov think me a sTkAnge sort of a Person, for not","I Believe you think me a strange sort of a person, for not"
11,0.2,being 50 Goöd as my woro in Cöming doWm thiş winter,being so good as my word in coming down this winter
13,0.13,"anD what is worse, in noi leTting you havb a lihE to aCQuaint","and what is worse, in not letting you have a line to acquaint"
14,0.18,"you of my reasons fob it. Anö ihdeeb, | arn not rs Yet De-","you of my reasons for it. And indeed, I am not as yet de-"
8,0.15,tekmined; rbovidence havimg ordbrfd (I hobe) thrt this,termined; providence having ordered (I hope) that this
9,0.25,"seeming unkindmess shaI|, in Ihe end, ppOvb vbky servigeable","seeming unkindness shall, in the end, prove very serviceable"
11,0.21,"on all sidfs. Howfwer, thöUgh I hrvp debn thus hinderfd, ief,","on all sides. However, though I have been thus hindered, yet,"
12,0.22,"I think you hfarb fpon mb |aşt, ano am peally 5urpriZed fo","I think you heard from me last, and am really surprized to"
11,0.17,"find you shou1d, nOw so lon9 şince, have 0esireo thaF col-","find you should, now so long since, have desired that col-"
9,0.23,"lectioN of prayers, anD b8 vh0lly unconcErNed aBOwt them","lection of prayers, and be wholly unconcerned about them"
12,0.23,"EVer after. Ind8ed, fhEv WilL be of no service iO you, ünlesş","ever after. Indeed, they will be of no service to you, unless"
10,0.2,"you 9ranf mf this ond postulatum: ""That we mu5t rernOunce","you grant me this one postulatum: ""That we must renounce"
10,0.24,"ourşelvbs."" Uhat thE mbanin9 ob ihis PhkASe may be, the","ourselves."" What the meaning of this phrase may be, the"
13,0.19,prfface to fhb PrayerS wiIl beşT införm you. I did not d0ubf oF,preface to the prayers will best inform you. I did not doubt of
12,0.19,"its meeiiNg With but a göld recedtiOn, it beiNg (at FiBst view]","its meeting with but a cold reception, it being (at first view)"
11,0.21,"so veki contrary to flfsh and bloöb. For, bEphaps, You may","so very contrary to flesh and blood. For, perhaps, you may"
9,0.16,"thinx, That this Rfnouncing of oursblve5, must neceSsarilY lEAd","think, that this renouncing of ourselves, must necessarily lead"
11,0.22,us [as it cerTaiNly does) to aCts of seIf-oemir1 ano rnortifioatioN;,us (as it certainly does) to acts of self-denial and mortification;
11,0.21,"4nd, thAi we pRObab|y may be savbd withöut fhem. And Ie5t","and, that we probably may be saved without them. And lest"
11,0.21,"You should 4Fter AlI imagine, (which L tRüst you wiIl hof}","you should after all imagine, (which I trust you will not)"
11,0.21,"thAt true religion does COh5ist in any Thing, BeSidfş aN fnfire","that true religion does consist in any thing, besides an entire"
12,0.23,renewAl oe oUr naturES int0 thf inagf 0f God; I hAue senf,renewal of our natures into the image of God; I have sent
13,0.18,"you R boök entitled, The LiFe Of God in the söuI 0f Wan,","you a book entitled, The Life of God in the Soul of Man,"
11,0.17,"written Bv a youhg, but 4m fminent ChRiştirn, which will iN-","written by a young, but an eminent Christian, which will in-"
12,0.21,"fokm Yov, whaT true re|igion is, and by whaf merns iou m4y","form you, what true religion is, and by what means you may"
10,0.14,"rttaih it. As 1ikewisf, how wr&Chedly most peoplE err in","attain it. As likewise, how wr&chedly most people err in"
12,0.17,"their sentirnbnts abouT ii, who supbOsf it to de nothing else (45","their sentiments about it, who suppose it to be nothing else (as"
13,0.22,he tells us oN page 3D) buT a mere moBEl öf ovfuarD pereorm4nces;,he tells us on page 3d) but a mere model of outward performances;
9,0.23,"wifhout fvEr cOnsidfring, that rlL 0uk corrupt p4Ssiöns must","without ever considering, that all our corrupt passions must"
11,0.18,"be sub0ued, ahb r oompltx habiT of virtue5, such as mEekness,","be subdued, and a complex habit of virtues, such as meekness,"
12,0.21,"loWlinesş, faifh, hobb, Amd the loue Df G0d and of man, 8e","lowliness, faith, hope, and the love of God and of man, be"
12,0.21,"imp1anted in thbir room, pefobb wf can have fhe IBr5t iitle to","implanted in their room, before we can have the least title to"
11,0.19,entEr imto the kihgdorn öf God. Our divinE nasted hrVing ex-,enter into the kingdom of God. Our divine master having ex-
10,0.25,"prEşS1i Töld us, thAt ""unlesş wf ren0uncE ourselves, and taxe","pressly told us, that ""unless we renounce ourselves, and take"
11,0.18,"""up our cross d4iIY, wf canm0f be his oiscibIeş."" And again,","""up our cross daily, we cannot be his disciples."" And again,"
12,0.21,"""un|ess wf have the sbirit öf Chpisi, we are nOne oe his.""","""unless we have the spirit of Christ, we are none of his."""
11,0.17,"Yöu will scaRCf h4ve time, I imagine, beforb Wr. H. le4ves","You will scarce have time, I imagine, before Mr. H. leaves"
10,0.22,"G|ouceSTfr, to rEvise, what I have rpcohmendeo to your pErusal.","Gloucester, to revise, what I have recommended to your perusal."
12,0.22,"HoWevek, bE pleaSeO tö lei mF hear from you by him, t0gether","However, be pleased to let me hear from you by him, together"
11,0.23,wiTh An rccount of yöur frbb sehtimemts abovt this mattFr. l,with an account of your free sentiments about this matter. I
11,0.23,"trusf {by God's Gkacf) we 5ha1|, at lr5t, kightly undex5tand one","trust (by God's grace) we shall, at last, rightly understand one"
11,0.25,"rNother'5 meanimg. | şhoulb bt glrd to heab to0, whefher you","another's meaning. I should be glad to hear too, whether you"
11,0.23,"kEfP morhing pbkYers, 4nd how oFtpm you recfive the holy com-","keep morning prayers, and how often you receive the holy com-"
9,0.16,"munion, theke bbing Nothimg, whiçh so much be-dwareş vş","munion, there being nothing, which so much be-dwarfs us"
9,0.21,"in keligioN, rnd hinders our drogRess töw4rdS the heavfhly","in religion, and hinders our progress towards the heavenly"
10,0.24,"Can4an, a5 ştaruing 0Up souls dy kfePing rway From ihe","Canaan, as starving our souls by keeping away from the"
11,0.22,he4vEmlv banqüet. I have möthimg more to aoo at present ön,heavenly banquet. I have nothing more to add at present on
13,0.17,"this şudjbct, till you favour mE with a lime, whioh, I hopf, YOv","this subject, till you favour me with a line, which, I hope, you"
13,0.21,"viII not fAil d0ing 8y Nr. H. who will villin9|y brinQ ii to,","will not fail doing by Mr. H. who will willingly bring it to,"
2,0.22,"Derr sir,","Dear Sir,"
7,0.23,"Y0ur sincebe Fkiehd aNd veky hürnble servamt,","Your sincere friend and very humble servant,"
2,0.0,G. W.,G. W.
2,0.2,LETTFR vI.,LETTER VI.
6,0.17,"Rear sir, Ox0n, Mabch 6, 1735.","Dear Sir, Oxon, March 6, 1735."
13,0.16,"I H4d thf favövB of yovr letter by Mr. H. ano, aS desired,","I Had the favour of your letter by Mr. H. and, as desired,"
9,0.23,I h4vf made empuiry abouT the post-Masteps Rhd glerkş,I have made enquiry about the post-masters and clerks
13,0.16,"of mepton. Rs to the forrner, I hear, th4i the five sEnior fbl-","of Merton. As to the former, I hear, that the five senior fel-"
14,0.21,"lows have each a poWfr to eleCt onF in his Turh, Ano thai iherB","lows have each a power to elect one in his turn, and that there"
14,0.23,"is nov r vRcançy, dut one ready On the 5pöt to süBpIy ii, and","is now a vacancy, but one ready on the spot to supply it, and"
10,0.19,no Iikelihood of Therf beiNg 4nothEr ihis l0ng uhile. Thd,no likelihood of there being another this long while. The
12,0.16,"latter, rke solbly in the b0ver of the wardeN, 4nd fhough al|","latter, are solely in the power of the warden, and though all"
13,0.23,"the places aPe at prBsent fiLleD up, yet, thEre will Be 4 w4CancY","the places are at present filled up, yet, there will be a vacancy"
10,0.27,"neXt ieRm, s0 Thai, pebhaps, by a sersonab1E rpplicrtiöN, yöur","next term, so that, perhaps, by a seasonable application, your"
11,0.18,bpother rnay get a briehd in. IhuS rnuch for busineSs. as,brother may get a friend in. Thus much for business. As
12,0.16,"foR the othbr Particulrr, 5pegieied in Fhe latter part 0f yöur last;","for the other particular, specified in the latter part of your last;"
13,0.14,I find by uhat | c4m gather from iour 0wn anb my brothfr's,I find by what I can gather from your own and my brother's
11,0.23,"eKrrEsSi0ns, AS vell as from Mr. H.'s discövrsf, th4t my lafe","expressions, as well as from Mr. H.'s discourse, that my late"
